Title,Description,Priority,Due Date,Status
Complete Q4 Report,Finish quarterly reports for Q4,high,2025-12-15,pending
Review Project Proposal,Review new project proposal from client,high,2025-12-12,pending
Update Client Database,Add new clients to the database system,medium,2025-12-18,pending
Schedule Team Lunch,Plan end of year team lunch event,low,2025-12-10,completed
Prepare Annual Presentation,Create slides for annual meeting,high,2025-12-20,in-progress
Code Review,Review and approve pull requests,medium,2025-12-13,in-progress
Update Documentation,Update technical documentation,medium,2025-12-17,pending
Performance Reviews,Complete employee performance reviews,high,2025-12-25,pending
Budget Planning,Work on next year budget planning,medium,2025-12-22,pending
Team Training,Conduct team training session,low,2025-12-14,pending
